,A,B,C,D,E,F,G,H,J,K,Frequency,Data Accuracy,Technical Maturity,Setup time,Safety,Human Judgement,Cost_norm,Cost,Utility
0,A2,B3,C2,D3,E2,F1,G4,H1,J3,K4,0.4,0.75,0.07,0.63,0.9,0.0,0.08,105000.0,0.48
1,A1,B2,C3,D2,E3,F1,G3,H3,J3,K1,0.85,0.57,0.63,0.27,0.5,0.5,0.36,885000.0,0.54
2,A1,B1,C1,D4,E1,F2,G1,H2,J1,K3,1.0,0.82,0.8,0.25,0.2,1.0,0.52,2560000.0,0.66
3,A1,B1,C1,D1,E1,F1,G1,H1,J1,K1,1.0,0.75,0.77,0.31,0.56,0.5,0.36,480000.0,0.64
4,A1,B1,C1,D2,E3,F2,G3,H1,J2,K3,0.92,0.82,0.77,0.31,0.2,1.0,0.5,2830000.0,0.66
5,A1,B3,C2,D2,E3,F1,G2,H4,J2,K2,0.85,0.32,0.53,0.49,0.6,0.5,0.32,840000.0,0.53
6,A1,B2,C1,D2,E3,F1,G2,H1,J2,K1,0.92,0.75,0.67,0.33,0.56,0.5,0.42,1340000.0,0.61
7,A1,B1,C2,D2,E3,F1,G1,H1,J3,K1,0.85,0.75,0.73,0.28,0.6,0.5,0.3,490000.0,0.61
8,A1,B1,C2,D2,E3,F1,G1,H1,J3,K2,0.85,0.75,0.73,0.36,0.6,0.5,0.3,490000.0,0.62
9,A1,B1,C2,D2,E3,F1,G1,H1,J3,K3,0.85,0.75,0.73,0.42,0.24,1.0,0.38,1980000.0,0.66
10,A1,B1,C2,D2,E3,F1,G1,H1,J3,K4,0.85,0.75,0.73,0.22,0.96,0.5,0.28,485000.0,0.65
11,A1,B1,C2,D2,E3,F1,G2,H1,J3,K1,0.85,0.75,0.47,0.38,0.6,0.5,0.28,390000.0,0.59
12,A1,B1,C2,D2,E3,F1,G2,H1,J3,K2,0.85,0.75,0.47,0.46,0.6,0.5,0.28,390000.0,0.6
13,A1,B1,C2,D2,E3,F1,G2,H1,J3,K3,0.85,0.75,0.47,0.52,0.24,1.0,0.36,1880000.0,0.64
14,A1,B1,C2,D2,E3,F1,G2,H1,J3,K4,0.85,0.75,0.47,0.32,0.96,0.5,0.26,385000.0,0.63
15,A1,B1,C2,D2,E3,F1,G3,H1,J3,K1,0.85,0.75,0.6,0.32,0.6,0.5,0.28,390000.0,0.6
16,A1,B1,C2,D2,E3,F1,G3,H1,J3,K2,0.85,0.75,0.6,0.4,0.6,0.5,0.28,390000.0,0.61
17,A1,B1,C2,D2,E3,F1,G3,H1,J3,K3,0.85,0.75,0.6,0.46,0.24,1.0,0.36,1880000.0,0.65
18,A1,B1,C2,D2,E3,F1,G3,H1,J3,K4,0.85,0.75,0.6,0.26,0.96,0.5,0.26,385000.0,0.64
19,A1,B1,C2,D2,E3,F1,G4,H1,J3,K1,0.85,0.75,0.4,0.48,0.6,0.5,0.24,345000.0,0.6
20,A1,B1,C2,D2,E3,F1,G4,H1,J3,K2,0.85,0.75,0.4,0.56,0.6,0.5,0.24,345000.0,0.61
21,A1,B1,C2,D2,E3,F1,G4,H1,J3,K3,0.85,0.75,0.4,0.62,0.24,1.0,0.32,1835000.0,0.65
22,A1,B1,C2,D2,E3,F1,G4,H1,J3,K4,0.85,0.75,0.4,0.42,0.96,0.5,0.22,340000.0,0.64
23,A1,B1,C2,D3,E3,F1,G1,H1,J3,K1,0.85,0.75,0.63,0.36,0.6,0.5,0.24,345000.0,0.61
24,A1,B1,C2,D3,E3,F1,G1,H1,J3,K2,0.85,0.75,0.63,0.44,0.6,0.5,0.24,345000.0,0.62
25,A1,B1,C2,D3,E3,F1,G1,H1,J3,K3,0.85,0.75,0.63,0.5,0.24,1.0,0.32,1835000.0,0.66
26,A1,B1,C2,D3,E3,F1,G1,H1,J3,K4,0.85,0.75,0.63,0.3,0.96,0.5,0.22,340000.0,0.65
27,A1,B1,C2,D3,E3,F1,G2,H1,J3,K1,0.85,0.75,0.37,0.46,0.6,0.5,0.22,245000.0,0.59
28,A1,B1,C2,D3,E3,F1,G2,H1,J3,K2,0.85,0.75,0.37,0.54,0.6,0.5,0.22,245000.0,0.61
29,A1,B1,C2,D3,E3,F1,G2,H1,J3,K3,0.85,0.75,0.37,0.6,0.24,1.0,0.3,1735000.0,0.64
30,A1,B1,C2,D3,E3,F1,G2,H1,J3,K4,0.85,0.75,0.37,0.4,0.96,0.5,0.2,240000.0,0.63
31,A1,B1,C2,D3,E3,F1,G3,H1,J3,K1,0.85,0.75,0.5,0.4,0.6,0.5,0.22,245000.0,0.6
32,A1,B1,C2,D3,E3,F1,G3,H1,J3,K2,0.85,0.75,0.5,0.48,0.6,0.5,0.22,245000.0,0.61
33,A1,B1,C2,D3,E3,F1,G3,H1,J3,K3,0.85,0.75,0.5,0.54,0.24,1.0,0.3,1735000.0,0.65
